deployment,dive_start,feeding_start,feeding_end,dive_end,dive_start_timestamp,descent_time,feeding_time,ascent_time,dive_time,stroke_frequency_feeding,avg_feeding_depth,avg_feeding_speed,max_dive_depth,pitch_excursion,roll_excursion,heading_excursion,depth_excursion,dist_total,dist_feeding,staightline_dist_feeding,tortuosity_feeding,avg_pitch_feeding,max_roll_feeding,time_between_dives,observed_feeding
ea230116-P47,62154,62213,62820,62910,2023-01-16 13:47:07,5.9,60.7,9,75.6,0.164744645799012,5.62596876657929,1.03746668265457,6.55930575536779,29.7100792610956,10.4646355844356,28.740403474942,2.00871276953989,84.6491738561625,62.7160104980298,60.8155674222744,0.0303023591689565,-11.8983487241698,7.46302695397089,0.9,y
ea230116-P47,62919,63004,64357,64453,2023-01-16 13:48:23,8.5,135.3,9.6,153.4,0.177383592017738,5.92425236032962,1.03859316827868,6.78200659822514,25.7406491599713,10.6331233187862,74.0521681332727,2.07590758781221,163.110978937297,139.303041606391,129.381392965317,0.0712234889250213,-12.4887028867502,6.72787044522795,31.2,n
ea230116-P47,64765,64831,66004,66098,2023-01-16 13:51:28,6.6,117.3,9.4,133.3,0.15771526001705,6.28457665948768,1.00862474366527,7.31890424464533,34.8530961669573,93.9062640384837,203.034849585077,2.92601865855067,137.101997976448,116.667094860077,38.4125388573845,0.670750875356465,-12.731659358137,80.8960168647831,1,y
ea230116-P47,66108,66183,66726,66821,2023-01-16 13:53:42,7.5,54.3,9.5,71.3,0.174953959484346,6.37689345058086,1.06051706106356,7.22358657358245,35.2086997857778,9.69659717920676,43.3935617178563,2.0207100023549,78.889496907548,56.7021329353135,53.8930882554616,0.0495403706075132,-12.5120231017617,6.0658628746414,25.5,y
ea230116-P47,67076,67163,68248,68352,2023-01-16 13:55:19,8.7,108.5,10.4,127.6,0.184331797235023,5.88108494383837,1.07083506772429,6.88368552491864,26.7639027040373,12.8288863209074,64.4123230552934,1.84047052442522,139.997218857426,115.152069897957,107.890338835399,0.0630620975288857,-11.8329806962835,8.02888407396227,41.7,y
ea230116-P47,68769,68837,69966,70020,2023-01-16 13:58:08,6.8,112.9,5.4,125.1,0.163861824623561,5.79971951278774,1.0628824348435,6.65806189564071,51.2330821707194,16.2595153873252,62.2862771014231,2.54486104929264,135.22535237017,118.510676684255,114.088494874915,0.0373146279564529,-12.8681510752253,14.4426690527202,1.9,y
ea230116-P47,70039,70099,70564,70639,2023-01-16 14:00:15,6,46.5,7.5,60,0.150537634408602,5.27551113891445,1.06526126007713,5.98873509628987,25.1398522692284,13.0512247559839,58.8348438501703,1.28902251685247,66.3813774859704,49.035043110069,45.7081194366911,0.0678478790343871,-12.9749206027045,9.29656904841397,0,n
ea230116-P47,70639,70695,71132,71216,2023-01-16 14:01:15,5.6,43.7,8.4,57.7,0.183066361556064,5.20299384920099,1.06229770396011,5.74996548783218,25.1800142045055,9.32305918451531,43.3039105723626,1.38449140997525,63.8778017203248,45.865262940817,43.7121032838292,0.0469453246079969,-12.7956393764148,4.86741681135203,1.5,y
ea230116-P47,71231,71280,71463,71524,2023-01-16 14:02:15,4.9,18.3,6.1,29.3,0.163934426229508,4.81416730353347,1.02526008471678,5.56112686740336,41.6526237159024,11.13793448907,31.0110797370771,2.10287979401118,34.574112046546,18.8022217441538,17.8481090415056,0.0507446787741883,-13.2565993988371,8.89977503955791,9.5,y
ea230116-P47,71619,71674,72550,72632,2023-01-16 14:02:53,5.5,87.6,8.2,101.3,0.182648401826484,5.72390442537179,1.06655685231153,7.12743595938707,32.082974231663,9.14108048084093,46.3602237544724,2.72010600106106,110.666653148215,92.3153831369812,89.1861787499897,0.0338968899944695,-12.5185420893078,7.48804620659301,0,n
